stn_id,stn_name,datetimes,temp,conducted,tds,salinity,deo,depth,ph,nh4,turbid
T1,การท่าเรือ,2023-09-01 00:00:00,31.25,7956.0,5198.0,4.39,,,,,
T2,โรงไฟฟ้าพระนครใต้,2023-09-01 00:00:00,32.23,24640.0,16927.0,15.77,,1.43,,,
T1,การท่าเรือ,2023-09-01 00:00:00,31.12,6805.0,4445.0,3.71,,,,,
T4,สะพานพระนั่งเกล้า,2023-09-01 00:00:00,30.91,550.0,359.0,0.26,0.51,,7.03,20.74,12.13
S6,คลองลัดโพธิ์,2023-09-01 00:00:00,31.05,3910.0,2550.0,2.06,,1.31,,,
S1,สำแล,2023-09-01 00:00:00,31.18,500.0,320.0,0.24,5.81,1.99,7.51,34.42,22.36
T3,วัดบ้านแป้ง,2023-09-01 00:00:00,31.89,308.0,201.0,0.15,4.71,,7.56,3.58,22.69
T2,โรงไฟฟ้าพระนครใต้,2023-09-01 00:00:00,32.17,19768.0,12922.0,11.73,,1.1,,,
S5,วัดโพธิ์แตงเหนือ,2023-09-01 00:00:00,31.5,365.0,234.2,0.17,6.39,1.24,7.78,10.32,15.78
S1,สำแล,2023-09-01 00:00:00,31.39,487.0,311.8,0.23,6.47,1.8,7.57,34.7,27.98
S5,วัดโพธิ์แตงเหนือ,2023-09-01 00:00:00,31.41,367.0,235.3,0.17,6.05,1.37,7.74,11.57,15.23
S4,วัดมะขาม,2023-09-01 00:00:00,31.07,541.0,346.3,0.26,3.58,1.9,7.29,19.81,9.04
T3,วัดบ้านแป้ง,2023-09-01 00:00:00,31.74,309.0,202.0,0.15,4.81,,7.57,3.37,21.44
S7,สะพานพระพุทธยอดฟ้า,2023-09-01 00:00:00,30.68,786.0,510.0,0.38,,1.27,,,
S7,สะพานพระพุทธยอดฟ้า,2023-09-01 00:00:00,30.78,1013.0,660.0,0.5,,1.45,,,
T4,สะพานพระนั่งเกล้า,2023-09-01 00:00:00,30.74,570.0,373.0,0.27,0.46,,7.03,19.03,7.62
S1,สำแล,2023-09-01 01:00:00,31.35,499.0,319.7,0.23,5.85,1.68,7.48,32.35,20.43
S5,วัดโพธิ์แตงเหนือ,2023-09-01 01:00:00,31.39,368.0,236.0,0.17,5.71,1.31,7.7,8.98,14.33
S5,วัดโพธิ์แตงเหนือ,2023-09-01 01:00:00,31.5,366.0,234.4,0.17,6.32,1.17,7.81,13.71,9.68
S1,สำแล,2023-09-01 01:00:00,31.14,517.0,330.8,0.24,5.18,1.85,7.42,29.34,21.33
T3,วัดบ้านแป้ง,2023-09-01 01:00:00,31.84,309.0,203.0,0.15,4.65,,7.55,3.52,22.91
S7,สะพานพระพุทธยอดฟ้า,2023-09-01 01:00:00,30.66,775.0,510.0,0.38,,1.04,,,
S6,คลองลัดโพธิ์,2023-09-01 01:00:00,30.99,3580.0,2340.0,1.87,,1.08,,,
